tier,journal,container_title,year,title,authors,doi,abstract,is_oa,oa_pdf_url,landing_url,pdf_path
top5,Econometrica,Econometrica,2021,Learning With Heterogeneous Misspecified Models: Characterization and Robustness,J. Aislinn Bohren; Daniel N. Hauser,10.3982/ecta15318,"This paper develops a general framework to study how misinterpreting information impacts learning. Our main result is a simple criterion to characterize long‐run beliefs based on the underlying form of misspecification. We present this characterization in the context of social learning, then highlight how it applies to other learning environments, including individual learning. A key contribution is that our characterization applies to settings with model heterogeneity and provides conditions for entrenched disagreement. Our characterization can be used to determine whether a representative agent approach is valid in the face of heterogeneity, study how differing levels of bias or unawareness of others' biases impact learning, and explore whether the impact of a bias is sensitive to parametric specification or the source of information. This unified framework synthesizes insights gleaned from previously studied forms of misspecification and provides novel insights in specific applications, as we demonstrate in settings with partisan bias, overreaction, naive learning, and level‐k reasoning.",1,https://www.econometricsociety.org/sites/default/files/ecta200315-sup-0001-onlineappendix.pdf,https://www.econometricsociety.org/sites/default/files/ecta200315-sup-0001-onlineappendix.pdf,pdfs/2021_Econometrica_Learning With Heterogeneous Misspecified Models_ Characterization and Robustness_10.3982_ecta15318.pdf
top5,Econometrica,Econometrica,2020,Misinterpreting Others and the Fragility of Social Learning,Mira Frick; Ryota Iijima; Yuhta Ishii,10.3982/ecta16981,"We exhibit a natural environment, social learning among heterogeneous agents, where even slight misperceptions can have a large negative impact on long‐run learning outcomes. We consider a population of agents who obtain information about the state of the world both from initial private signals and by observing a random sample of other agents' actions over time, where agents' actions depend not only on their beliefs about the state but also on their idiosyncratic types (e.g., tastes or risk attitudes). When agents are correct about the type distribution in the population, they learn the true state in the long run. By contrast, we show, first, that even arbitrarily small amounts of misperception about the type distribution can generate extreme breakdowns of information aggregation, where in the long run all agents incorrectly assign probability 1 to some fixed state of the world, regardless of the true underlying state. Second, any misperception of the type distribution leads long‐run beliefs and behavior to vary only coarsely with the state, and we provide systematic predictions for how the nature of misperception shapes these coarse long‐run outcomes. Third, we show that how fragile information aggregation is against misperception depends on the richness of agents' payoff‐relevant uncertainty; a design implication is that information aggregation can be improved by simplifying agents' learning environment. The key feature behind our findings is that agents' belief‐updating becomes “decoupled” from the true state over time. We point to other environments where this feature is present and leads to similar fragility results.",1,https://www.econometricsociety.org/sites/default/files/ecta200202-sup-0001-onlineappendix.pdf,https://www.econometricsociety.org/sites/default/files/ecta200202-sup-0001-onlineappendix.pdf,pdfs/2020_Econometrica_Misinterpreting Others and the Fragility of Social Learning_10.3982_ecta16981.pdf
top5,Econometrica,Econometrica,2023,A Quantitative Theory of the Credit Score,Satyajit Chatterjee; Dean Corbae; Kyle Dempsey; José-V́ıctor Ŕıos-Rull,10.3982/ecta18771,"What is the role of credit scores in credit markets? We argue that it is, in part, the market's assessment of a person's unobservable type, which here we take to be patience. We postulate a model of persistent hidden types where observable actions shape the public assessment of a person's type via Bayesian updating. We show how dynamic reputation can incentivize repayment. Importantly, we show how an economy with credit scores implements the same equilibrium allocation. We estimate the model using both credit market data and the evolution of individuals' credit scores. We conduct counterfactuals to assess how more or less information used in scoring individuals affects outcomes and welfare. If tracking of individual credit actions is outlawed, poor young adults of low type benefit from subsidization by high types despite facing higher interest rates arising from lower dynamic incentives to repay.",1,https://www.econometricsociety.org/publications/econometrica/2023/09/01/A-Quantitative-Theory-of-the-Credit-Score/supp/ecta200576-sup-0001-onlineappendix.pdf,https://www.econometricsociety.org/publications/econometrica/2023/09/01/A-Quantitative-Theory-of-the-Credit-Score/supp/ecta200576-sup-0001-onlineappendix.pdf,pdfs/2023_Econometrica_A Quantitative Theory of the Credit Score_10.3982_ecta18771.pdf
top5,Econometrica,Econometrica,2020,Informational Channels of Financial Contagion,Isabel Trevino,10.3982/ecta15604,"Two main classes of channels are studied as informational sources of financial contagion. One is a fundamental channel that is based on real and financial links between economies, and the second is a social learning channel that arises when agents base their decisions on noisy observations about the actions of others in foreign markets. Using global games, I present a two‐country model of financial contagion in which both channels can operate and I test its predictions experimentally. The experimental results show that subjects do not extract information optimally, which leads to two systematic biases that affect these channels directly. Base‐rate neglect leads subjects to underweight their prior, and thus weakens the fundamental channel. An overreaction bias strengthens the social learning channel, since subjects rely on information about the behavior of others, even when this information is irrelevant. These results have significant welfare effects rooted in the specific way in which these biases alter behavior.",0,,https://doi.org/10.3982/ecta15604,
top5,Econometrica,Econometrica,2022,Dual‐Self Representations of Ambiguity Preferences,Madhav Chandrasekher; Mira Frick; Ryota Iijima; Yves Le Yaouanq,10.3982/ecta17502,"We propose a class of multiple‐prior representations of preferences under ambiguity, where the belief the decision‐maker (DM) uses to evaluate an uncertain prospect is the outcome of a game played by two conflicting forces, Pessimism and Optimism. The model does not restrict the sign of the DM's ambiguity attitude, and we show that it provides a unified framework through which to characterize different degrees of ambiguity aversion, and to represent the co‐existence of negative and positive ambiguity attitudes within individuals as documented in experiments. We prove that our baseline representation, dual‐self expected utility (DSEU) , yields a novel representation of the class of invariant biseparable preferences (Ghirardato, Maccheroni, and Marinacci (2004)), which drops uncertainty aversion from maxmin expected utility (Gilboa and Schmeidler (1989)), while extensions of DSEU allow for more general departures from independence. We also provide foundations for a generalization of prior‐by‐prior belief updating to our model.",0,,https://doi.org/10.3982/ecta17502,
top5,Econometrica,Econometrica,2021,A Practical Guide to Updating Beliefs From Contradictory Evidence,Evan Sadler,10.3982/ecta17378,"We often make high stakes choices based on complex information that we have no way to verify. Careful Bayesian reasoning—assessing every reason why a claim could be false or misleading—is not feasible, so we necessarily act on faith: we trust certain sources and treat claims as if they were direct observations of payoff relevant events. This creates a challenge when trusted sources conflict: Practically speaking, is there a principled way to update beliefs in response to contradictory claims? I propose a model of belief formation along with several updating axioms. An impossibility theorem shows there is no obvious best answer, while a representation theorem delineates the boundary of what is possible.",0,,https://doi.org/10.3982/ecta17378,
top5,Review of Economic Studies,The Review of Economic Studies,2019,Measuring “Schmeduling”,Alex Rees-Jones; Dmitry Taubinsky,10.1093/restud/rdz045,"Abstract What mental models do individuals use to approximate their tax schedule? Using incentivized forecasts of the U.S. Federal income tax schedule, we estimate the prevalence of the “schmeduling” heuristics for constructing mental representations of nonlinear incentive schemes. We find evidence of widespread reliance on the “ironing” heuristic, which linearizes the tax schedule using one’s average tax rate. In our preferred specification, 43% of the population irons. We find no evidence of reliance on the “spotlighting” heuristic, which linearizes the tax schedule using one’s marginal tax rate. We show that the presence of ironing rationalizes a number of empirical patterns in individuals’ perceptions of tax liability across the income distribution. Furthermore, while our empirical framework accommodates a rich class of other misperceptions, we find that a simple model including only ironers and correct forecasters accurately predicts average underestimation of marginal tax rates. We replicate our finding of prevalent ironing, and a lack of other systematic misperceptions, in a controlled experiment that studies real-stakes decisions across exogenously varied tax schedules. To illustrate the policy relevance of the ironing heuristic, we show that it augments the benefits of progressive taxation in a standard model of earnings choice. We quantify these benefits in a calibrated model of the U.S. tax system.",0,,https://doi.org/10.1093/restud/rdz045,
top5,Review of Economic Studies,The Review of Economic Studies,2023,Social Positions and Fairness Views on Inequality,Kristoffer Balle Hvidberg; Claus Thustrup Kreiner; Stefanie Stantcheva,10.1093/restud/rdad019,"Abstract We link survey data on Danish people’s perceived income positions and fairness views on inequality within various reference groups to administrative records on their reference groups, income histories, and life events. People are, on average, well-informed about the income levels of their reference groups. Yet, lower-ranked respondents in all groups tend to overestimate their own position among others because they believe others’ incomes are lower than they actually are, whereas the opposite holds true for higher-ranked respondents. Misperceptions of positions in reference groups relate to proximity to other individuals, transparency norms, and visible signals of income. People view inequalities within their co-workers and education groups as significantly more unfair than overall inequality, yet underestimate inequality the most exactly within these groups. Views on the fairness of inequalities are strongly correlated with an individual’s current position, move with shocks like unemployment or promotions, and change when experimentally informing people about their actual positions. However, the higher perceived unfairness of income differences within co-workers and education groups stays unchanged. The theoretical framework shows that this can have important implications for redistribution policy.",0,,https://doi.org/10.1093/restud/rdad019,
top5,Review of Economic Studies,The Review of Economic Studies,2023,A Macro-Finance Model with Sentiment,Peter Maxted,10.1093/restud/rdad023,"Abstract This paper incorporates diagnostic expectations into a general equilibrium macroeconomic model with a financial intermediary sector. Diagnostic expectations are a forward-looking model of extrapolative expectations that overreact to recent news. Frictions in financial intermediation produce non-linear spikes in risk premia and slumps in investment during periods of financial distress. The interaction of sentiment with financial frictions generates a short-run amplification effect followed by a long-run reversal effect, termed the feedback from behavioural frictions to financial frictions. The model features sentiment-driven financial crises characterized by low pre-crisis risk premia and neglected risk. The conflicting short-run and long-run effect of sentiment produces boom–bust investment cycles. The model also identifies a stabilizing role for diagnostic expectations. Under the baseline calibration, financial crises are less likely to occur when expectations are diagnostic than when they are rational.",0,,https://doi.org/10.1093/restud/rdad023,
top5,Review of Economic Studies,The Review of Economic Studies,2021,Are High-Interest Loans Predatory? Theory and Evidence from Payday Lending,Hunt Allcott; Joshua J. Kim; Dmitry Taubinsky; Jonathan Zinman,10.1093/restud/rdab066,"Abstract It is often argued that people might take on too much high-cost debt because they are present focused and/or over-optimistic about how soon they will repay. We measure borrowers’ present focus and over-optimism using an experiment with a large payday lender. Although the most inexperienced quartile of borrowers under-estimate their likelihood of future borrowing, the more experienced three quartiles predict correctly on average. This finding contrasts sharply with priors we elicited from 103 payday lending and behavioural economics experts, who believed that the average borrower would be highly overoptimistic about getting out of debt. Borrowers are willing to pay a significant premium for an experimental incentive to avoid future borrowing, which we show implies that they perceive themselves to be time inconsistent. We use borrowers’ predicted behaviour and valuation of the experimental incentive to estimate a model of present focus and naivete. We then use the model to study common payday lending regulations. In our model, banning payday loans reduces welfare relative to existing regulation, while limits on repeat borrowing might increase welfare by inducing faster repayment that is more consistent with long-run preferences.",0,,https://doi.org/10.1093/restud/rdab066,
top5,Review of Economic Studies,The Review of Economic Studies,2023,Diagnostic Business Cycles,Francesco Bianchi; Cosmin Ilut; Hikaru Saijo,10.1093/restud/rdad024,"Abstract A large psychology literature argues that, due to selective memory recall, decision-makers’ forecasts of the future are overly influenced by the perceived news. We adopt the diagnostic expectations (DE) paradigm [Bordalo et al. (2018), Journal of Finance, 73, 199–227] to capture this feature of belief formation, develop a method to incorporate DE in business cycle models, and study the implications for aggregate dynamics. First, we address (1) the theoretical challenges associated with modelling the feedback between optimal actions and agents’ DE beliefs and (2) the time-inconsistencies that arise under distant memory (i.e. when news is perceived with respect to a more distant past than just the immediate one). Second, we show that under distant memory the interaction between actions and DE beliefs naturally generates repeated boom–bust cycles in response to a single initial shock. We also propose a portable solution method to study DE in dynamic stochastic general equilibrium models and use it to estimate a quantitative DE New Keynesian model. Both endogenous states and distant memory play a critical role in successfully replicating the boom–bust cycle observed in response to a monetary policy shock.",0,,https://doi.org/10.1093/restud/rdad024,
top5,Review of Economic Studies,The Review of Economic Studies,2023,Incorporating Diagnostic Expectations into the New Keynesian Framework,Jean-Paul L’Huillier; Sanjay R. Singh; Donghoon Yoo,10.1093/restud/rdad101,"Abstract Diagnostic expectations constitute a realistic behavioural model of inference. This paper shows that this approach to expectation formation can be productively integrated into the New Keynesian framework. Diagnostic expectations generate endogenous extrapolation in general equilibrium. We show that diagnostic expectations generate extra amplification in the presence of nominal frictions; a fall in aggregate supply generates a Keynesian recession; fiscal policy is more effective at stimulating the economy. We perform Bayesian estimation of a rich medium-scale model that incorporates consensus forecast data. Our estimate of the diagnosticity parameter is in line with previous studies. Moreover, we find empirical evidence in favour of the diagnostic model. Diagnostic expectations offer new propagation mechanisms to explain fluctuations.",0,,https://doi.org/10.1093/restud/rdad101,
top5,Review of Economic Studies,The Review of Economic Studies,2023,The 2000s Housing Cycle with 2020 Hindsight: A Neo-Kindlebergerian View,Gabriel Chodorow-Reich; Adam Guren; Timothy McQuade,10.1093/restud/rdad045,"Abstract With “2020 hindsight,” the 2000s housing cycle is not a boom–bust but a boom–bust–rebound. Using a spatial equilibrium regression in which house prices are determined by income, amenities, urbanization, and supply, we show that long-run city-level fundamentals predict not only 1997–2019 price and rent growth but also the amplitude of the boom–bust–rebound. This evidence motivates our model of a cycle rooted in fundamentals. Households learn about fundamentals by observing “dividends” but become over-optimistic in the boom due to diagnostic expectations. A bust ensues when beliefs start to correct, exacerbated by a price–foreclosure spiral that drives prices below their long-run level. The rebound follows as prices converge to a path commensurate with higher fundamental growth. The estimated model explains the boom–bust–rebound with a single shock and accounts quantitatively for the dynamics of prices, rents, and foreclosures in cities with the largest cycles. We draw implications for asset cycles more generally.",0,,https://doi.org/10.1093/restud/rdad045,
top5,Review of Economic Studies,The Review of Economic Studies,2018,Attention Variation and Welfare: Theory and Evidence from a Tax Salience Experiment,Dmitry Taubinsky; Alex Rees-Jones,10.1093/restud/rdx069,"This paper shows that accounting for variation in mistakes can be crucial for welfare analysis. Focusing on consumer underreaction to not-fully-salient sales taxes, we show theoretically that the efficiency costs of taxation are amplified by differences in underreaction across individuals and across tax rates. To empirically assess the importance of these issues, we implement an online shopping experiment in which 2,998 consumers purchase common household products, facing tax rates that vary in size and salience. We replicate prior findings that, on average, consumers underreact to non-salient sales taxes--consumers in our study react to existing sales taxes as if they were only 25% of their size. However, we find significant individual differences in this underreaction, and accounting for this heterogeneity increases the efficiency cost of taxation estimates by at least 200%. Tripling existing sales tax rates nearly doubles consumers' attention to taxes, and accounting for this endogeneity increases efficiency cost estimates by 336%. Our results provide new insights into the mechanisms and determinants of boundedly rational processing of not-fully-salient incentives, and our general approach provides a framework for robust behavioral welfare analysis.",1,https://doi.org/10.3386/w22545,https://doi.org/10.3386/w22545,
top5,Review of Economic Studies,The Review of Economic Studies,2018,The Effect of Product Misperception on Economic Outcomes: Evidence from the Extended Warranty Market,Jose Miguel Abito; Yuval Salant,10.1093/restud/rdy045,"Abstract Panel and experimental data are used to analyse the economic outcomes in the extended warranty market. We establish that the strong demand and high profits in this market are driven by consumers distorting the failure probability of the insured product, rather than standard risk aversion or sellers’ market power. Providing information to consumers about failure probabilities significantly reduces their willingness to pay for warranties, indicating the important role of information, or lack of, in driving consumers’ purchase behaviour. Such information provision is shown to be more effective in enhancing consumer welfare than additional market competition.",0,,https://doi.org/10.1093/restud/rdy045,
top5,Review of Economic Studies,The Review of Economic Studies,2021,Recovering Investor Expectations from Demand for Index Funds,Mark Egan; Alexander MacKay; Hanbin Yang,10.1093/restud/rdab086,"Abstract We use a revealed-preference approach to estimate investor expectations of stock market returns. Using data on demand for index funds that follow the S&amp;P 500, we develop and estimate a model of investor choice to flexibly recover the time-varying distribution of expected future returns across investors. Our analysis is facilitated by the prevalence of leveraged funds that track the same underlying asset: by choosing between higher and lower leverage, investors trade off higher return against less risk. Our estimates indicate that investor expectations are heterogeneous, extrapolative, and persistent. Following a downturn, investors become more pessimistic on average, but there is also an increase in disagreement among participating investors due to the presence of contrarian investors.",0,,https://doi.org/10.1093/restud/rdab086,
top5,Review of Economic Studies,The Review of Economic Studies,2024,Expectations and Learning from Prices,Francesca Bastianello; Paul Fontanier,10.1093/restud/rdae059,"Abstract We study mislearning from equilibrium prices, and contrast this with mislearning from exogenous fundamentals. We micro-found mislearning from prices with a psychologically founded theory of “Partial Equilibrium Thinking” (PET), where traders learn fundamental information from prices, but fail to realize others do so too. PET leads to over-reaction, and upward sloping demand curves, thus contributing to more inelastic markets. The degree of individual-level over-reaction and the extent of inelasticity vary with the composition of traders, and with the informativeness of new information. More generally, unlike mislearning from fundamentals, mislearning from prices (i) generates a two-way feedback between prices and beliefs that can provide an arbitrarily large amount of amplification and (ii) can rationalize both over-reaction and more inelastic markets. The two classes of biases are not mutually exclusive. Instead, they interact in very natural ways, and mislearning from prices can vastly amplify mislearning from fundamentals.",0,,https://doi.org/10.1093/restud/rdae059,
top5,Review of Economic Studies,The Review of Economic Studies,2018,Robustly Optimal Auctions with Unknown Resale Opportunities,Gabriel Carroll; Ilya Segal,10.1093/restud/rdy041,"Abstract The standard revenue-maximizing auction discriminates against a priori stronger bidders so as to reduce their information rents. We show that such discrimination is no longer optimal when the auction’s winner may resell to another bidder, and the auctioneer has non-Bayesian uncertainty about such resale opportunities. We identify a “worst-case” resale scenario, in which bidders’ values become publicly known after the auction and losing bidders compete Bertrand-style to buy the object from the winner. With this form of resale, misallocation no longer reduces the information rents of the high-value bidder, as he could still secure the same rents by buying the object in resale. Under regularity assumptions, we show that revenue is maximized by a version of the Vickrey auction with bidder-specific reserve prices, first proposed by Ausubel and Cramton (2004). The proof of optimality involves constructing Lagrange multipliers on a double continuum of binding non-local incentive constraints.",0,,https://doi.org/10.1093/restud/rdy041,
top5,Review of Economic Studies,The Review of Economic Studies,2023,Dynamic Opinion Aggregation: Long-Run Stability and Disagreement,Simone Cerreia‐Vioglio; Roberto Corrao; Giacomo Lanzani,10.1093/restud/rdad072,"Abstract This article proposes a model of non-Bayesian social learning in networks that accounts for heuristics and biases in opinion aggregation. The updating rules are represented by non-linear opinion aggregators from which we extract two extreme networks capturing strong and weak links. We provide graph-theoretic conditions for these networks that characterize opinions’ convergence, consensus formation, and efficient or biased information aggregation. Under these updating rules, agents may ignore some of their neighbours’ opinions, reducing the number of effective connections and inducing long-run disagreement for finite populations. For the wisdom of the crowd in large populations, we highlight a trade-off between how connected the society is and the non-linearity of the opinion aggregator. Our framework bridges several models and phenomena in the non-Bayesian social learning literature, thereby providing a unifying approach to the field.",0,,https://doi.org/10.1093/restud/rdad072,
top5,Review of Economic Studies,The Review of Economic Studies,2020,Stochastic Revealed Preferences with Measurement Error,Victor H. Aguiar; Nail Kashaev,10.1093/restud/rdaa067,"Abstract A long-standing question about consumer behaviour is whether individuals’ observed purchase decisions satisfy the revealed preference (RP) axioms of the utility maximization theory (UMT). Researchers using survey or experimental panel data sets on prices and consumption to answer this question face the well-known problem of measurement error. We show that ignoring measurement error in the RP approach may lead to overrejection of the UMT. To solve this problem, we propose a new statistical RP framework for consumption panel data sets that allows for testing the UMT in the presence of measurement error. Our test is applicable to all consumer models that can be characterized by their first-order conditions. Our approach is non-parametric, allows for unrestricted heterogeneity in preferences and requires only a centring condition on measurement error. We develop two applications that provide new evidence about the UMT. First, we find support in a survey data set for the dynamic and time-consistent UMT in single-individual households, in the presence of nonclassical measurement error in consumption. In the second application, we cannot reject the static UMT in a widely used experimental data set in which measurement error in prices is assumed to be the result of price misperception due to the experimental design. The first finding stands in contrast to the conclusions drawn from the deterministic RP test of Browning (1989, International Economic Review, 979–992). The second finding reverses the conclusions drawn from the deterministic RP test of Afriat (1967, International Economic Review, 8, 6–77) and Varian (1982, Econometrica, 945–973).",1,https://arxiv.org/pdf/1810.05287,https://arxiv.org/pdf/1810.05287,pdfs/2020_Review of Economic Studies_Stochastic Revealed Preferences with Measurement Error_10.1093_restud_rdaa067.pdf
top5,Review of Economic Studies,The Review of Economic Studies,2019,Identification and Estimation of Dynamic Games When Players’ Beliefs Are Not in Equilibrium,Vı́ctor Aguirregabiria; Arvind Magesan,10.1093/restud/rdz013,"This article deals with the identification and estimation of dynamic games when players’ beliefs about other players’ actions are biased, that is, beliefs do not represent the probability distribution of the actual behaviour of other players conditional on the information available. First, we show that an exclusion restriction, typically used to identify empirical games, provides testable non-parametric restrictions of the null hypothesis of equilibrium beliefs in dynamic games with either finite or infinite horizon. We use this result to construct a simple Likelihood Ratio test of equilibrium beliefs. Second, we prove that this exclusion restriction, together with consistent estimates of beliefs at two points in the support of the variable involved in the exclusion restriction, is sufficient for non-parametric point-identification of players’ belief functions as well as useful functions of payoffs. Third, we propose a simple two-step estimation method. We illustrate our model and methods using both Monte Carlo experiments and an empirical application of a dynamic game of store location by retail chains. The key conditions for the identification of beliefs and payoffs in our application are the following: (1) the previous year’s network of stores of the competitor does not have a direct effect on the profit of a firm, but the firm’s own network of stores at previous year does affect its profit because the existence of sunk entry costs and economies of density in these costs; and (2) firms’ beliefs are unbiased in those markets that are close, in a geographic sense, to the opponent’s network of stores, though beliefs are unrestricted, and potentially biased, for unexplored markets which are farther away from the competitors’ network. Our estimates show significant evidence of biased beliefs. Furthermore, imposing the restriction of unbiased beliefs generates a substantial attenuation bias in the estimate of competition effects.",1,https://www.economics.utoronto.ca/public/workingPapers/tecipa-449.pdf,https://www.economics.utoronto.ca/public/workingPapers/tecipa-449.pdf,pdfs/2019_Review of Economic Studies_Identification and Estimation of Dynamic Games When Players_ Beliefs Are Not in Equilibrium_10.1093_restud_rdz013.pdf
top5,Review of Economic Studies,The Review of Economic Studies,2019,Correlation Neglect in Belief Formation,Benjamin Enke; Florian Zimmermann,10.1093/restud/rdx081,,1,https://academic.oup.com/restud/article-pdf/86/1/313/27285222/rdx081.pdf,https://academic.oup.com/restud/article-pdf/86/1/313/27285222/rdx081.pdf,
top5,Review of Economic Studies,The Review of Economic Studies,2023,Equilibrium Analysis in Behavioural One-Sector Growth Models,Daron Acemoğlu; Martin Kaae Jensen,10.1093/restud/rdad043,"Abstract Rich behavioural biases, mistakes, and limits on rational decision-making are often thought to make equilibrium analysis much more intractable. We establish that this is not the case in the context of one-sector growth models such as Ramsey–Cass–Koopmans or Bewley–Aiyagari models. We break down the response of the economy to a change in the environment or policy into two parts: the direct response at the given (pre-tax) prices, and the equilibrium response which plays out as prices change. Our main result demonstrates that under weak regularity conditions, regardless of the details of behavioural preferences, mistakes and constraints on decision-making, the long-run equilibrium will involve a greater capital-labour ratio if and only if the direct response (from the corresponding consumption-saving model) involves an increase in aggregate savings. One implication of this result is that, from a qualitative point of view, behavioural biases matter for long-run equilibrium if and only if they change the direction of the direct response. We provide detailed illustrations of how this result can be applied and generate new insights using models of misperceptions, self-control and temptation, and naive and sophisticated quasi-hyperbolic discounting.",1,https://academic.oup.com/restud/advance-article-pdf/doi/10.1093/restud/rdad043/50437065/rdad043.pdf,https://academic.oup.com/restud/advance-article-pdf/doi/10.1093/restud/rdad043/50437065/rdad043.pdf,
top5,Review of Economic Studies,The Review of Economic Studies,2025,Extreme Categories and Overreaction to News,Spencer Yongwook Kwon; Jau Tang,10.1093/restud/rdaf037,"Abstract What characteristics of news generate over-or-underreaction? We study the asset-pricing consequences of diagnostic expectations, a model of belief formation based on the representativeness heuristic, in a setting where news events are drawn from categories with extreme distributions of fundamentals. Our model predicts greater overreaction to news belonging to categories with more extreme outliers, or tail events. We test our theory on a comprehensive database of corporate news that includes news from twenty-four different categories, including earnings announcements, product launches, mergers and acquisition, business expansions, and client-related news. We find theory-consistent heterogeneity in investor reaction to news, with more overreaction in the form of greater post-announcement return reversals and trading volume for news categories with more extreme distributions of fundamentals.",0,,https://doi.org/10.1093/restud/rdaf037,
top5,Review of Economic Studies,The Review of Economic Studies,2025,Retractions: Updating from Complex Information,Duarte Gonçalves; Jonathan Libgober; Jack Willis,10.1093/restud/rdaf032,"Abstract We modify a canonical experimental design to identify the effectiveness of retractions. Comparing beliefs after retractions to beliefs (1) without the retracted information and (2) after equivalent new information, we find that retractions result in diminished belief updating in both cases. We propose this reflects updating from retractions being more complex, and our analysis supports this: we find longer response times, lower accuracy, and higher variability. The results—robust across diverse participant groups and design variations—enhance our understanding of belief updating and offer insights into addressing misinformation.",0,,https://doi.org/10.1093/restud/rdaf032,
top5,Review of Economic Studies,The Review of Economic Studies,2025,How People Use Statistics,Pedro Bordalo; J. Michael Conlon; Nicola Gennaioli; Spencer Kwon; Andrei Shleifer,10.1093/restud/rdaf022,"Abstract For standard statistical problems, we provide new evidence documenting (1) multimodality and (2) instability in probability estimates, including from irrelevant changes in problem description. The evidence motivates a model in which, when solving a problem, people represent each hypothesis by attending to its salient features while neglecting other, potentially more relevant, ones. Only the statistics associated with salient features are used. The model unifies biases in judgments about i.i.d. draws, such as the Gambler's Fallacy and insensitivity to sample size, with biases in inference such as under- and overreaction and insensitivity to the weight of evidence. The model makes predictions for how changes in the salience of specific features jointly shapes known biases and measured attention to features, but also create entirely new biases. We test and confirm these predictions experimentally. Salience-driven attention to features emerges as a unifying framework for biases conventionally explained using a variety of stable heuristics or distortions of Bayes' rule.",1,,https://doi.org/10.1093/restud/rdaf022,
top5,Review of Economic Studies,The Review of Economic Studies,2021,Uncertainty in the Hot Hand Fallacy: Detecting Streaky Alternatives to Random Bernoulli Sequences,David M. Ritzwoller; Joseph P. Romano,10.1093/restud/rdab020,"Abstract We study a class of permutation tests of the randomness of a collection of Bernoulli sequences and their application to analyses of the human tendency to perceive streaks of consecutive successes as overly representative of positive dependence—the hot hand fallacy. In particular, we study permutation tests of the null hypothesis of randomness (i.e. that trials are i.i.d.) based on test statistics that compare the proportion of successes that directly follow $k$ consecutive successes with either the overall proportion of successes or the proportion of successes that directly follow $k$ consecutive failures. We characterize the asymptotic distributions of these test statistics and their permutation distributions under randomness, under a set of general stationary processes, and under a class of Markov chain alternatives, which allow us to derive their local asymptotic power. The results are applied to evaluate the empirical support for the hot hand fallacy provided by four controlled basketball shooting experiments. We establish that substantially larger data sets are required to derive an informative measurement of the deviation from randomness in basketball shooting. In one experiment, for which we were able to obtain data, multiple testing procedures reveal that one shooter exhibits a shooting pattern significantly inconsistent with randomness—supplying strong evidence that basketball shooting is not random for all shooters all of the time. However, we find that the evidence against randomness in this experiment is limited to this shooter. Our results provide a mathematical and statistical foundation for the design and validation of experiments that directly compare deviations from randomness with human beliefs about deviations from randomness and thereby constitute a direct test of the hot hand fallacy.",1,https://arxiv.org/pdf/1908.01406,https://arxiv.org/pdf/1908.01406,pdfs/2021_Review of Economic Studies_Uncertainty in the Hot Hand Fallacy_ Detecting Streaky Alternatives to Random Bernoulli Sequences_10.1093_restud_rdab020.pdf
top5,Review of Economic Studies,The Review of Economic Studies,2022,Immigration and Redistribution,Alberto Alesina; Armando Miano; Stefanie Stantcheva,10.1093/restud/rdac011,"Abstract Does immigration change support for redistribution? We design and conduct large-scale surveys and experiments in six countries to investigate how people perceive immigrants and how these perceptions influence their support for redistribution. We find striking misperceptions about the number and characteristics of immigrants. In all countries, respondents greatly overestimate the total number of immigrants, think immigrants are culturally and religiously more distant from them, and economically weaker—less educated, more unemployed, and more reliant on and favoured by government transfers—than they actually are. In the experimental part of our article, we show that simply making respondents think about immigration before asking questions about redistribution makes them support less redistribution, including actual donations to charities. The perception that immigrants are economically weaker and more likely to take advantage of the welfare system is strongly correlated with lower support for redistribution, much more so than the perceived cultural distance or the perceived share of immigrants. These findings are confirmed by further experimental evidence. Information about the true shares and origins of immigrants does not change support for redistribution. An anecdote about a “hard-working” immigrant has somewhat stronger effects but is unable to counteract the negative priming effect of making people think about immigration. Our results further suggest that narratives shape people’s views on immigration more deeply than hard facts.",0,,https://doi.org/10.1093/restud/rdac011,
top5,Review of Economic Studies,The Review of Economic Studies,2023,Correction: regarding Article History dates for articles on journal Review of Economic Studies,"Hvidberg, Kristoffer Balle; Kreiner, Claus Thustrup; Stantcheva, Stefanie",10.1093/restud/rdad056,"We link survey data on Danish people’s perceived income positions and fairness views on inequality within various reference groups to administrative records on their reference groups, income histories, and life events. People are, on average, well-informed about the income levels of their reference groups. Yet, lower-ranked respondents in all groups tend to overestimate their own position among others because they believe others’ incomes are lower than they actually are, whereas the opposite holds true for higher-ranked respondents. Misperceptions of positions in reference groups relate to proximity to other individuals, transparency norms, and visible signals of income. People view inequalities within their co-workers and education groups as significantly more unfair than overall inequality, yet underestimate inequality the most exactly within these groups. Views on the fairness of inequalities are strongly correlated with an individual’s current position, move with shocks like unemployment or promotions, and change when experimentally informing people about their actual positions. However, the higher perceived unfairness of income differences within co-workers and education groups stays unchanged. The theoretical framework shows that this can have important implications for redistribution policy.",1,https://academic.oup.com/restud/advance-article-pdf/doi/10.1093/restud/rdad056/50449132/rdad056.pdf,https://academic.oup.com/restud/advance-article-pdf/doi/10.1093/restud/rdad056/50449132/rdad056.pdf,
